Clave	Nombre	1990	Homicidio	Operaciones legales y de guerra	1991	Homicidio2	Operaciones legales y de guerra 2	1992	Homicidio3	Operaciones legales y de guerra 3	1993	Homicidio4	Operaciones legales y de guerra 4	1994	Homicidio5	Operaciones legales y de guerra 5	1995	Homicidio6	Operaciones legales y de guerra 6	1996	Homicidio7	Operaciones legales y de guerra 7	1997	Homicidio8	Operaciones legales y de guerra 8	1998	Homicidio9	Operaciones legales y de guerra 9	1999	Homicidio10	Operaciones legales y de guerra 10	2000	Homicidio11	Operaciones legales y de guerra 11	2001	Homicidio12	Operaciones legales y de guerra 12	2002	Homicidio13	Operaciones legales y de guerra 13	2003	Homicidio14	Operaciones legales y de guerra 14	2004	Homicidio15	Operaciones legales y de guerra 15	2005	Homicidio16	Operaciones legales y de guerra 16	2006	Homicidio17	Operaciones legales y de guerra 17	2007	Homicidio18	Operaciones legales y de guerra 18	Criminal Rivalry Deaths	2008	Homicidio19	Operaciones legales y de guerra 19	Criminal Rivalry Deaths 2	2009	Homicidio20	Operaciones legales y de guerra 20	Criminal Rivalry Deaths 3	2010	Homicidio21	Criminal Rivalry Deaths 4
04008	Tenabo	7	0	0	4	0	0	2	0	0	1	0	0	3	0	0	5	0	0	4	1	0	4	0	0	1	1	0	5	1	0	2	0	0	2	0	0	3	0	0	3	0	0	3	0	0	4	0	0	3	1	0	1	0	0	2	3	0	0	4	3	1	0	2	7	0	15
04009	Escåárcega	0	0	0	0	0	0	48	15	0	35	13	0	34	9	0	41	18	0	44	14	0	43	11	0	35	7	0	35	4	0	38	7	0	28	7	0	24	2	0	18	2	0	20	3	0	27	1	0	27	1	0	23	5	0	0	26	5	0	0	33	8	0	0	34	5	2
04010	Calakmul	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	5	0	12	1	0	9	4	0	3	0	0	13	1	0	11	0	0	9	2	0	9	3	0	11	1	0	10	0	0	0	21	4	0	3	12	0	0	2	17	0	15
04011	Candelaria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	9	0	16	4	0	22	7	0	17	6	0	16	4	0	15	4	0	11	5	0	16	3	0	21	3	0	12	24	6	0	61	29	3	0	135	19	3	316
05001	Abasolo	0	0	0	2	1	0	1	0	0	2	0	0	0	0	0	0	0	0	1	0	0	3	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0	5	0	0	0	12	0	0	26
05002	AcuÌÕa	34	7	0	58	13	0	35	8	0	35	9	0	50	13	0	44	7	0	49	8	0	55	15	0	61	8	0	50	9	0	56	13	0	47	8	0	39	7	0	54	9	0	56	19	0	51	6	0	51	9	0	45	3	0	0	62	7	0	0	61	8	0	0	65	6	3
05003	Allende	10	0	0	12	1	0	13	0	0	17	3	0	6	5	0	13	0	0	14	0	0	7	0	0	12	0	0	6	0	0	16	1	0	6	2	0	11	1	0	12	0	0	10	1	0	7	0	0	9	0	0	13	1	0	0	5	0	0	1	8	3	0	1	21	3	0
05004	Arteaga	9	1	0	10	0	0	14	2	0	16	0	0	21	0	0	10	0	0	13	1	0	9	0	0	15	0	0	16	2	0	3	0	0	9	3	0	6	0	0	11	0	0	10	1	0	8	0	0	4	0	0	11	0	0	0	9	0	0	2	13	0	0	2	18	5	2
05005	Candela	3	0	0	2	0	0	4	1	0	2	0	0	1	0	0	1	0	0	0	0	0	0	0	0	3	1	0	4	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	3	0	0	3	0	0	0	2	0	0	0	4	0	0	0	1	0	1
05006	CastaÌÕos	22	0	0	15	0	0	26	4	0	24	0	0	14	1	0	19	4	0	11	1	0	21	1	0	18	0	0	9	2	0	10	1	0	11	2	0	8	0	0	16	3	0	8	2	0	9	2	0	13	1	0	11	1	0	0	8	0	0	4	14	1	0	9	12	2	21
