"","Lat","Lon","DocsPerMedUnit","AvEduc05","ReadWrite05","MissReadWrite05","IndLang05","MissIndLang05","PopMun06","Hom90","Hom91","Hom92","Hom93","Hom94","Hom95","Hom96","Hom97","Hom98","Hom99","Hom00","Hom01","Hom02","Hom03","Hom04","Hom05","Hom06","Hom07","Hom08","Hom09","Hom10","PartyMunBC","Inc06","StatePop06","StateHom06","StateGDP06","missIndDocsPerUnit","treated","Regions","clave"
"948",25.1834959,-99.8296789,6,8.3,0.951912914817163,0.00150073980131051,0.00442605997931748,0.827102803738318,54905.8,0,0,5.96815393062618,1.97047441141929,7.80768119676137,13.5359863866651,1.92606231967242,7.6738903554546,7.64376975436746,1.90347117002566,7.58423238088015,0,1.88018696579188,1.87235062386723,3.7291586645137,3.71374456864857,7.28520484174714,7.1482694039773,3.50819338565219,1.72232058586457,33.8335053203187,"PRI",2682.47323597871,4290125.2,3.72949488746855,744577817,FALSE,0,0,19038
"949",25.6732109,-100.309201,40.6,9.8,0.957644156406765,0.00504596998654611,0.0100198046222734,1.02573785153533,1134161.2,2.80573642163859,3.35501980859612,4.36478454680535,4.16442635952326,5.62542767083317,4.31928524100233,4.48424829996656,4.10103267648156,5.44536061628413,3.43448121528576,3.78038824587285,3.04779552949352,3.30320630630293,3.64545804380098,2.83373770179976,5.29187327021892,4.23220261811108,9.4313977754594,8.81169375205092,12.3325981930277,38.7477433842631,"PRI",3475.09594756019,4290125.2,3.72949488746855,744577817,FALSE,1,8,19039
"950",26.4958078,-99.523821,0.8,7.4,0.940706955530217,0,0,0,966.8,0,193.386192225875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"PRI",16791.8142325197,4290125.2,3.72949488746855,744577817,FALSE,1,6,19040
"951",25.785,-100.0511111,1.3,7.2,0.93968194222264,0.00272889808977134,0.0125400457665904,1,13975,0,0,0,0,10.9591443100123,0,0,0,18.982175736983,9.15030287502516,0,0,8.55007780570803,0,0,8.15793767335617,0,0,5.74415532195991,0,19.1910953317661,"PRD",0,4290125.2,3.72949488746855,744577817,FALSE,1,8,19041
"952",25.698735,-99.624754,0.5,6.1,0.927702345265385,0.00211602891906189,0.00138456213222568,2.75,6053.4,0,15.9296546450873,0,0,18.1937268029983,0,0,17.7418210205095,0,0,0,0,0,16.0487883164821,0,16.0590974787217,0,0,0,0,0,"PAN",5820.84613605577,4290125.2,3.72949488746855,744577817,FALSE,0,0,19042
"953",25.0160712,-100.0748225,1,5.1,0.865997381056307,0.00742034046268005,0.00341880341880342,3.5,2586.4,0,0,0,0,0,35.8294518093873,0,0,0,0,0,0,0,0,0,0,38.6637797711104,0,0,38.2029339853301,0,"PRI",8215.09047324466,4290125.2,3.72949488746855,744577817,FALSE,0,0,19043
"954",26.5069047,-100.1794529,5.8,8.3,0.952026000635885,0.000671212067686438,0.00203687081405786,0.813559322033898,32566.2,3.62976406533575,0,0,3.34083908514463,6.5089758777354,9.51746454744456,0,0,0,9.32621225215591,3.09319805747162,6.19747638761496,3.10429821130337,9.32963465150705,6.23095663877275,3.1210986267166,9.21200508502681,9.0655256191754,2.97454385370004,5.8574072772428,25.9582936748291,"PRI",2523.87705658014,4290125.2,3.72949488746855,744577817,FALSE,0,0,19044
"955",25.9638922,-100.2942166,1.9,7.4,0.932630851615132,0.00285023320089826,0.0202759197324415,0.237113402061856,28810.4,0,0,0,0,0,6.27943485086342,0,0,0,0,0,0,8.8677639046538,4.11211263898941,3.83388541283278,3.59092214880781,0,3.35877042132416,3.25359847991879,9.46443894805916,0,"PRI",2317.46549856996,4290125.2,3.72949488746855,744577817,FALSE,1,8,19045
"956",25.75,-100.2833333,35.8,10.8,0.976494452569704,0.0017326986315407,0.00531650953427376,1.07182795698925,470063.4,1.14520514059684,1.34268077854002,2.84382127327066,1.06975761004169,2.51224825702309,2.25444946344103,2.04200485670435,2.64493425914171,1.82446091234398,1.8178615807478,2.01256646500751,0.811598390275753,1.22741756254511,1.65013846724413,1.45595406173744,1.88773830074188,3.40379616877213,5.17949317796005,5.25545680649539,5.3336818005443,11.5053251607926,"PAN",1868.16363494797,4290125.2,3.72949488746855,744577817,FALSE,1,8,19046
"957",25.9722174,-100.4506976,3.8,8.3,0.942770415340194,0.00251721329680906,0.0028812216379745,1.2,15704.8,0,0,0,7.81347668458557,0,7.37898465171192,0,0,0,7.0769404970843,0,0,0,6.66755567408988,0,0,0,0,12.3805279057099,0,6.02264514574801,"PAN",2248.94178849778,4290125.2,3.72949488746855,744577817,FALSE,0,0,19047
