Chiapas	Jiquipilas	16.6669137	-93.6501004	7046
Chiapas	Jitotol	17.0667204	-92.8603824	7047
Chiapas	Juarez	17.6121564	-93.1779266	7048
Chiapas	Larrainzar	16.8820217	-92.7120416	7049
Chiapas	La Libertad	16.53053	-93.6466567	7050
Chiapas	Mapastepec	15.4329682	-92.8978399	7051
Chiapas	Las Margaritas	16.315274	-91.984695	7052
Chiapas	Mazapa de Madero	15.387171	-92.187527	7053
Chiapas	Mazatan	14.861665	-92.448493	7054
Chiapas	Metapa	14.8404499	-92.1884921	7055
Chiapas	Mitontic	16.86916	-92.630495	7056
Chiapas	Motozintla	15.3709199	-92.2484661	7057
Chiapas	Nicolas Ruiz	16.4350987	-92.5851994	7058
Chiapas	Ocosingo	16.9066667	-92.0938889	7059
Chiapas	Ocotepec	17.2210354	-93.1565506	7060
Chiapas	Ocozocoautla de Espinosa	16.7581182	-93.3739204	7061
Chiapas	Ostuacan	17.4077827	-93.3354309	7062
Chiapas	Osumacinta	16.9359747	-93.0917209	7063
Chiapas	Oxchuc	16.8499999	-92.4166671	7064
Chiapas	Palenque	17.4839486	-92.0462197	7065
Chiapas	Pantelho	17.0069832	-92.4701674	7066
Chiapas	Pantepec	17.1881409	-93.0498364	7067
Chiapas	Pichucalco	17.5081744	-93.1186601	7068
Chiapas	Pijijiapan	15.6851709	-93.2122536	7069
Chiapas	El Porvenir	17.7499999	-93.2000001	7070
Chiapas	Villa Comaltitlan	15.2127239	-92.5762346	7071
Chiapas	Pueblo Nuevo Solistahuacan	17.1578347	-92.8996804	7072
Chiapas	Rayon	17.2007984	-93.0117714	7073
Chiapas	Reforma	14.9050479	-92.2722722	7074
Chiapas	Las Rosas	16.3607767	-92.3672906	7075
Chiapas	Sabanilla	17.2822829	-92.5517584	7076
Chiapas	Salto de Agua	17.5583212	-92.3453716	7077
Chiapas	San Cristobal de las Casas	16.7366667	-92.6383333	7078
Chiapas	San Fernando	16.8694312	-93.2070859	7079
Chiapas	Siltepec	15.557172	-92.3232036	7080
Chiapas	Simojovel	17.1405789	-92.7108991	7081
Chiapas	Sitala	17.0244122	-92.3058451	7082
Chiapas	Socoltenango	16.2439259	-92.3504194	7083
Chiapas	Solosuchiapa	17.4297762	-93.0355476	7084
Chiapas	Soyalo	16.8905692	-92.9227329	7085
Chiapas	Suchiapa	16.6238059	-93.1000854	7086
Chiapas	Suchiate	14.625187	-92.243931	7087
Chiapas	Sunuapa	17.4901243	-93.2423498	7088
Chiapas	Tapachula	14.9	-92.2666667	7089
Chiapas	Tapalapa	17.1898377	-93.1046141	7090
Chiapas	Tapilula	17.2481357	-93.0173251	7091
Chiapas	Tecpatan	17.1813742	-93.392441	7092
Chiapas	Tenejapa	16.8180447	-92.5119384	7093
Chiapas	Teopisca	16.5324637	-92.4699764	7094
Chiapas	Tila	17.2980572	-92.4252829	7096
Chiapas	Tonala	16.0867084	-93.7561196	7097
Chiapas	Totolapa	16.5452279	-92.6829689	7098
Chiapas	La Trinitaria	16.1202778	-92.0408333	7099
Chiapas	Tumbala	17.2769854	-92.3158981	7100
Chiapas	Tuxtla Gutierrez	16.7527778	-93.1166667	7101
Chiapas	Tuxtla Chico	14.9395349	-92.1675374	7102
Chiapas	Tuzantan	15.146565	-92.422529	7103
Chiapas	Tzimol	16.1822673	-92.1845482	7104
Chiapas	Union Juarez	15.0645412	-92.0811838	7105
Chiapas	Venustiano Carranza	16.3342522	-92.5622929	7106
Chiapas	Villa Corzo	16.1853857	-93.2681856	7107
Chiapas	Villaflores	16.232572	-93.265726	7108
Chiapas	Yajalon	17.175506	-92.335116	7109
Chiapas	San Lucas	16.6087477	-92.7190246	7110
Chiapas	Zinacantan	16.7594787	-92.7216306	7111
Chiapas	San Juan Cancuc	16.8919079	-92.3707846	7112
Chiapas	Aldama	16.2301732	-92.1319842	7113
Chiapas	Benemerito de las Americas	16.5142764	-90.6540954	7114
Chiapas	Maravilla Tenejapa	16.1409664	-91.2927151	7115
Chiapas	Marques de Comillas	16.2642157	-90.6210256	7116
Chiapas	Montecristo de Guerrero	16.7749987	-93.1787681	7117
Chiapas	San Andres Duraznal	16.7569318	-93.1292353	7118
Chiapas	Santiago el Pinar	19.4215016	-102.0480439	7119
Chihuahua	Ahumada	29.1916314	-108.1451995	8001
Chihuahua	Aldama	28.8364812	-105.9139691	8002
Chihuahua	Allende	26.9142489	-105.4185031	8003
Chihuahua	Aquiles Serdan	28.5936841	-105.8873746	8004
Chihuahua	Ascension	31.0927778	-107.9963889	8005
Chihuahua	Bachiniva	28.7562554	-107.2537314	8006
Chihuahua	Balleza	26.9514499	-106.3473971	8007
Chihuahua	Batopilas	27.0254574	-107.7432679	8008
Chihuahua	Bocoyna	27.8401224	-107.5832991	8009
Chihuahua	Buenaventura	29.8388499	-107.4702001	8010
Chihuahua	Camargo	27.667	-105.167	8011
Chihuahua	Carichi	27.9169689	-107.0552036	8012
Chihuahua	Casas Grandes	30.3776089	-107.9497751	8013
Chihuahua	Coronado	28.6007772	-106.0982022	8014
Chihuahua	Coyame del Sotol	29.4613889	-105.0972222	8015
Chihuahua	La Cruz	27.8622487	-105.1973931	8016
Chihuahua	Cuauhtemoc	28.407471	-106.862999	8017
Chihuahua	Cusihuiriachi	28.2394654	-106.8338631	8018
Chihuahua	Chihuahua	28.630581	-106.0737	8019
Chihuahua	Chinipas	27.3941742	-108.5358841	8020
Chihuahua	Delicias	28.189911	-105.473999	8021
Chihuahua	Dr. Belisario Dominguez	28.155	-106.4769444	8022
Chihuahua	Galeana	30.1118377	-107.6136371	8023
Chihuahua	Santa Isabel	28.3430077	-106.3664096	8024
Chihuahua	Gomez Farias	29.3588269	-107.7362036	8025
Chihuahua	Gran Morelos	28.2480509	-106.4928971	8026
Chihuahua	Guachochi	26.8194444	-107.07	8027
Chihuahua	Guadalupe	31.3899646	-106.1050652	8028
Chihuahua	Guadalupe y Calvo	26.0902174	-106.9651726	8029
Chihuahua	Guazapares	27.371892	-108.281371	8030
Chihuahua	Guerrero	28.5551399	-107.4924011	8031
Chihuahua	Hidalgo del Parral	26.9323162	-105.6666844	8032
Chihuahua	Huejotitan	27.0557834	-106.1811164	8033
Chihuahua	Ignacio Zaragoza	29.6459134	-107.7604514	8034
Chihuahua	Janos	30.8889327	-108.1924159	8035
Chihuahua	Jimenez	27.1406589	-104.9157031	8036
Chihuahua	Juarez	31.7311292	-106.4625624	8037
Chihuahua	Julimes	28.4242289	-105.4260644	8038
Chihuahua	Lopez	29.1861976	-108.1332317	8039
Chihuahua	Madera	29.19	-108.1413889	8040
Chihuahua	Maguarichi	27.8569004	-107.9936421	8041
Chihuahua	Manuel Benavides	29.1059412	-103.9030576	8042
Chihuahua	Matachi	28.6849847	-106.137139	8043
Chihuahua	Matamoros	26.7602729	-105.5864736	8044
Chihuahua	Meoqui	28.2697374	-105.4808081	8045
Chihuahua	Morelos	28.6848643	-106.0820211	8046
Chihuahua	Moris	28.1489782	-108.5192669	8047
Chihuahua	Namiquipa	29.2497759	-107.4129114	8048
Chihuahua	Nonoava	27.4739917	-106.7372209	8049
Chihuahua	Nuevo Casas Grandes	30.4125959	-107.9140329	8050
Chihuahua	Ocampo	28.1912543	-108.364121	8051
Chihuahua	Ojinaga	29.564449	-104.544098	8052
Chihuahua	Praxedis G. Guerrero	31.3720602	-106.0052351	8053
Chihuahua	Riva Palacio	28.5546209	-106.5243001	8054
Chihuahua	Rosales	28.1854159	-105.5565554	8055
Chihuahua	Rosario	28.6109512	-106.0743052	8056
Chihuahua	San Francisco de Borja	27.8985474	-106.6832531	8057
Chihuahua	San Francisco de Conchos	27.5871334	-105.3350084	8058
Chihuahua	San Francisco del Oro	26.861545	-105.852693	8059
Chihuahua	Santa Barbara	26.802297	-105.818849	8060
Chihuahua	Satevo	27.9527889	-106.1104971	8061
Chihuahua	Saucillo	28.0304503	-105.2918467	8062
Chihuahua	Temosachic	28.9646234	-107.8353139	8063
Chihuahua	El Tule	27.0558812	-106.2660299	8064
Chihuahua	Urique	27.2104669	-107.9175444	8065
Chihuahua	Uruachi	27.8666899	-108.2174001	8066
Chihuahua	Valle de Zaragoza	27.4563657	-105.8108819	8067
Distrito Federal	Azcapotzalco	19.4827778	-99.1833333	9002
Distrito Federal	Coyoacan	19.35	-99.1616667	9003
Distrito Federal	Cuajimalpa de Morelos	19.3609486	-99.2841023	9004
Distrito Federal	Gustavo A. Madero	19.4822222	-99.1125	9005
Distrito Federal	Iztacalco	19.3952778	-99.0977778	9006
Distrito Federal	Iztapalapa	19.3583333	-99.0930556	9007
Distrito Federal	La Magdalena Contreras	19.3333333	-99.2138889	9008
Distrito Federal	Milpa Alta	19.191	-99.023651	9009
Distrito Federal	alvaro Obregon	19.4	-99.2	9010
Distrito Federal	Tlahuac	19.268709	-99.005013	9011
Distrito Federal	Tlalpan	19.3083333	-99.225	9012
Distrito Federal	Xochimilco	19.274285	-99.138374	9013
Distrito Federal	Benito Juarez	19.4013959	-99.157631	9014
Distrito Federal	Cuauhtemoc	19.442808	-99.144008	9015
Distrito Federal	Miguel Hidalgo	19.4066667	-99.1911111	9016
Distrito Federal	Venustiano Carranza	19.4395911	-99.1131054	9017
Durango	Canatlan	24.5228289	-104.7677991	10001
Durango	Canelas	25.1210274	-106.5383771	10002
Durango	Coneto de Comonfort	24.9798982	-104.7695431	10003
Durango	Cuencame	24.8624799	-103.6939011	10004
Durango	Durango	24.0277202	-104.6531759	10005
Durango	General Simon Bolivar	24.6879934	-103.2238096	10006
Durango	Gomez Palacio	25.56815	-103.491798	10007
Durango	Guadalupe Victoria	24.1252191	-104.5324625	10008
Durango	Guanacevi	25.9451899	-105.8966981	10009
Durango	Hidalgo	24.0293353	-104.6743598	10010
Durango	Inde	25.9104779	-105.2214354	10011
Durango	Lerdo	25.53965	-103.517097	10012
Durango	Mapimi	25.833708	-103.8487392	10013
Durango	Mezquital	23.4746427	-104.3939719	10014
Durango	Nazas	25.2339934	-104.1191066	10015
Durango	Nombre de Dios	23.8482422	-104.2441169	10016
Durango	Ocampo	24.0072255	-104.6662523	10017
Durango	El Oro	24.0485664	-104.5959377	10018
Durango	Otaez	25.5862681	-103.5130326	10019
Durango	Panuco de Coronado	24.5601009	-104.3728031	10020
Durango	Penon Blanco	24.7833333	-104.0333333	10021
Durango	Poanas	24.0754582	-104.586219	10022
Durango	Pueblo Nuevo	25.2934687	-103.9984108	10023
Durango	Rodeo	25.1809719	-104.5557836	10024
Durango	San Bernardo	26.0033309	-105.5233311	10025
Durango	San Dimas	24.149736	-105.955324	10026
Durango	San Juan de Guadalupe	24.6326164	-102.7775806	10027
Durango	San Juan del Rio	24.7825839	-104.4575171	10028
Durango	San Luis del Cordero	25.417115	-104.275006	10029
Durango	San Pedro del Gallo	25.5626327	-104.2894946	10030
Durango	Santa Clara	24.4756229	-103.3568246	10031
Durango	Santiago Papasquiaro	25.0438889	-105.4191667	10032
Durango	Suchil	23.626745	-103.921106	10033
Durango	Tamazula	24.9683887	-106.9677971	10034
Durango	Tepehuanes	25.3448299	-105.7183001	10035
Durango	Tlahualilo	26.074551	-103.397003	10036
Durango	Topia	25.2125467	-106.5696411	10037
Durango	Vicente Guerrero	24.0058779	-104.6801004	10038
Durango	Nuevo Ideal	24.8874532	-105.0707236	10039
Guanajuato	Abasolo	20.4533454	-101.5312631	11001
Guanajuato	Acambaro	20.0319362	-100.7205774	11002
Guanajuato	San Miguel de Allende	20.9141667	-100.7436111	11003
Guanajuato	Apaseo el Alto	20.4571377	-100.6230181	11004
Guanajuato	Apaseo el Grande	20.547963	-100.6869229	11005
Guanajuato	Atarjea	21.2715288	-99.7205847	11006
Guanajuato	Celaya	20.5222222	-100.8122222	11007
Guanajuato	Manuel Doblado	21.0140645	-101.2513778	11008
Guanajuato	Comonfort	20.721002	-100.762027	11009
Guanajuato	Coroneo	20.1990484	-100.3669879	11010
Guanajuato	Cortazar	20.4827778	-100.9611111	11011
Guanajuato	Cueramaro	20.6267104	-101.6717014	11012
Guanajuato	Doctor Mora	21.1430821	-100.3185428	11013
Guanajuato	Dolores Hidalgo Cuna de la Independencia Nacional	21.1481061	-100.930128	11014
Guanajuato	Guanajuato	21.018111	-101.25832	11015
Guanajuato	Huanimaro	20.3678927	-101.4978086	11016
Guanajuato	Irapuato	20.6786652	-101.3544964	11017
Guanajuato	Jaral del Progreso	20.375717	-101.066792	11018
Guanajuato	Jerecuaro	20.149719	-100.510002	11019
Guanajuato	Leon	21.123619	-101.680496	11020
Guanajuato	Moroleon	20.131821	-101.202202	11021
Guanajuato	Ocampo	21.650021	-101.478092	11022
Guanajuato	Penjamo	20.4311111	-101.7222222	11023
Guanajuato	Pueblo Nuevo	20.5244759	-101.3720989	11024
Guanajuato	Purisima del Rincon	20.889695	-101.91255	11025
Guanajuato	Romita	20.8751029	-101.5180731	11026
Guanajuato	Salamanca	20.570391	-101.195646	11027
Guanajuato	Salvatierra	20.2133542	-100.8903986	11028
Guanajuato	San Diego de la Union	21.4655391	-100.8729354	11029
Guanajuato	San Felipe	21.482182	-101.214363	11030
Guanajuato	San Francisco del Rincon	21.0205039	-101.8538614	11031
Guanajuato	San Jose Iturbide	20.998967	-100.385334	11032
Guanajuato	San Luis de la Paz	21.2959574	-100.5175346	11033
Guanajuato	Santa Catarina	21.1392442	-100.0682897	11034
Guanajuato	Santa Cruz de Juventino Rosas	20.6423214	-100.9925574	11035
Guanajuato	Santiago Maravatio	20.1735132	-100.9919246	11036
Guanajuato	Silao	20.952169	-101.426697	11037
Guanajuato	Tarandacuao	20	-100.5333333	11038
Guanajuato	Tarimoro	20.2838509	-100.7566279	11039
Guanajuato	Tierra Blanca	21.0996872	-100.1584904	11040
Guanajuato	Uriangato	20.141043	-101.181179	11041
Guanajuato	Valle de Santiago	20.39411	-101.192902	11042
Guanajuato	Victoria	21.2114596	-100.2160835	11043
Guanajuato	Villagran	20.5110332	-100.9966166	11044
Guanajuato	Xichu	21.2956159	-100.0573657	11045
Guanajuato	Yuriria	20.211951	-101.133287	11046
Guerrero	Acapulco de Juarez	16.863794	-99.881614	12001
Guerrero	Ahuacuotzingo	17.7137319	-98.9358561	12002
Guerrero	Ajuchitlan del Progreso	18.154182	-100.499655	12003
Guerrero	Alcozauca de Guerrero	17.4608874	-98.3851987	12004
Guerrero	Alpoyeca	17.6698177	-98.5133999	12005
Guerrero	Apaxtla	18.124331	-99.920052	12006
Guerrero	Arcelia	18.3155367	-100.2823644	12007
Guerrero	Atenango del Rio	18.1042572	-99.1072491	12008
Guerrero	Atlamajalcingo del Monte	17.3135632	-98.6040799	12009
Guerrero	Atlixtac	17.5616194	-98.9343631	12010
Guerrero	Atoyac de alvarez	17.2079518	-100.4326871	12011
Guerrero	Ayutla de los Libres	16.964797	-99.097161	12012
Guerrero	Azoyu	16.7325349	-98.6034009	12013
Guerrero	Benito Juarez	17.5631092	-99.509648	12014
Guerrero	Buenavista de Cuellar	18.4589194	-99.4076159	12015
Guerrero	Coahuayutla de Jose Maria Izazaga	17.5752043	-99.5093005	12016
Guerrero	Cocula	18.2378989	-99.6606026	12017
Guerrero	Copala	16.604531	-98.975246	12018
Guerrero	Copalillo	18.0344322	-99.0406186	12019
Guerrero	Copanatoyac	17.4638894	-98.7088054	12020
Guerrero	Coyuca de Benitez	17.0084639	-100.0854729	12021
Guerrero	Coyuca de Catalan	18.3255556	-100.6991667	12022
Guerrero	Cuajinicuilapa	16.469833	-98.413802	12023
Guerrero	Cualac	17.7392819	-98.6593185	12024
Guerrero	Cuautepec	16.7475072	-99.0028906	12025
Guerrero	Cuetzala del Progreso	18.1346867	-99.8325646	12026
Guerrero	Cutzamala de Pinzon	18.4671282	-100.5796111	12027
Guerrero	Chilapa de alvarez	17.59629	-99.1770559	12028
Guerrero	Chilpancingo de los Bravo	17.55	-99.5	12029
Guerrero	Florencio Villarreal	16.7293446	-99.126048	12030
Guerrero	General Canuto A. Neri	17.5579769	-99.5007788	12031
Guerrero	General Heliodoro Castillo	18.3581745	-99.5536154	12032
Guerrero	Huamuxtitlan	17.8020809	-98.5647731	12033
Guerrero	Huitzuco de los Figueroa	18.3108143	-99.3297522	12034
Guerrero	Iguala de la Independencia	18.35	-99.5333333	12035
Guerrero	Igualapa	16.7442207	-98.4759514	12036
Guerrero	Ixcateopan de Cuauhtemoc	18.5001186	-99.7922509	12037
Guerrero	Zihuatanejo de Azueta	17.6370984	-101.5594907	12038
Guerrero	Juan R. Escudero	18.3663645	-99.5642186	12039
Guerrero	Leonardo Bravo	18.2963499	-99.3375989	12040
Guerrero	Malinaltepec	17.2452669	-98.6718446	12041
Guerrero	Martir de Cuilapan	17.5740811	-99.3997243	12042
Guerrero	Metlatonoc	17.1937368	-98.4085373	12043
Guerrero	Mochitlan	17.4726859	-99.3713301	12044
Guerrero	Olinala	17.7774254	-98.7387789	12045
Guerrero	Ometepec	16.6854532	-98.4054066	12046
