"","State","Municipality","Lat","Lon","Clave","ConsultsPerDoc","ConsultsPerMedUnit","DocsPerMedUnit","AvEduc05","ReadWrite05","MissReadWrite05","IndLang05","MissIndLang05","Hom06","PopMun06","PartyMunBC","Inc06","Exp06","StatePop06","StateHom06","StateGDP06"
"47","Coahuila de Zaragoza","Juarez",27.6071402,-100.7263494,5015,NA,NA,NA,6.7,0.951065509076559,0,0.000775193798449612,3,0,1434.2,"PAN",11063343,11063343,2545838.2,110,315418288
"48","Coahuila de Zaragoza","Lamadrid",27.0505964,-101.7932329,5016,NA,NA,NA,7.5,0.934597776324395,0,0,0,0,1733.4,"PRI",11259035,11259035,2545838.2,110,315418288
"49","Coahuila de Zaragoza","Matamoros",25.5291939,-103.2245696,5017,NA,NA,NA,7.7,0.924682862893788,0.000842578289566072,0.00123022246522913,3.68518518518519,4,101197.6,"PRI",111696073,111696073,2545838.2,110,315418288
"50","Coahuila de Zaragoza","Monclova",26.9102778,-101.4222222,5018,NA,NA,NA,9.7,0.96783099267795,0.000657326908677287,0.00287195762465637,0.842412451361868,6,203369.2,"PRI",311888954,311888954,2545838.2,110,315418288
"51","Coahuila de Zaragoza","Morelos",28.4070929,-100.8850709,5019,NA,NA,NA,8,0.954392702832453,0.000320051208193311,0.000623344241857566,1,0,7418.2,"PRI",16493192,16493192,2545838.2,110,315418288
"52","Coahuila de Zaragoza","Muzquiz",27.87549,-101.5177,5020,NA,NA,NA,7.8,0.940241529934295,0.000789193554307529,0.00433008874892642,0.896694214876033,1,63534.8,"PRI",88173555,88173555,2545838.2,110,315418288
"53","Coahuila de Zaragoza","Nadadores",27.0253414,-101.5922319,5021,NA,NA,NA,7.9,0.939423263015289,0.000967679504548094,0.000379075056861259,5,0,5924.6,"PRI",17591596,17591596,2545838.2,110,315418288
"54","Coahuila de Zaragoza","Nava",28.4212302,-100.7638814,5022,NA,NA,NA,7.7,0.938421076497529,0.000952251394368113,0.00132211008769997,2.43333333333333,1,26270.4,"PRI",50736967,50736967,2545838.2,110,315418288
"55","Coahuila de Zaragoza","Ocampo",27.3156234,-102.3965211,5023,NA,NA,NA,6.8,0.922720596542764,0.000338944752005423,0.000992391663910023,2.33333333333333,0,10344.6,"PRI",25359540,25359540,2545838.2,110,315418288
"56","Coahuila de Zaragoza","Parras",25.441401,-102.174698,5024,NA,NA,NA,8.1,0.928653683752591,0.00230314507254907,0.00177225300783785,2.69014084507042,2,44852.2,"PRI",64772739,64772739,2545838.2,110,315418288
"57","Coahuila de Zaragoza","Piedras Negras",28.6978762,-100.5246969,5025,NA,NA,NA,8.8,0.954311216312844,0.00216156684830403,0.00283940940284421,2.89577464788732,9,145693.2,"PRI",288285916,288285916,2545838.2,110,315418288
"58","Coahuila de Zaragoza","Progreso",27.4280199,-100.9877821,5026,NA,NA,NA,6.3,0.915468856947296,0.000684462696783025,0.0013355592654424,5,0,3397.8,"PRI",17275035,17275035,2545838.2,110,315418288
"59","Coahuila de Zaragoza","Ramos Arizpe",25.540921,-100.943102,5027,NA,NA,NA,8.6,0.948447753659768,0.00136715463570587,0.00259825282841302,1.75590551181102,1,60458.6,"PAN",257360857,257360857,2545838.2,110,315418288
"60","Coahuila de Zaragoza","Sabinas",27.86,-101.12,5028,NA,NA,NA,8.8,0.952972551060232,0.000802220198603703,0.00173710412032624,1.48780487804878,3,54603,"PRI",98385017,98385017,2545838.2,110,315418288
"61","Coahuila de Zaragoza","Sacramento",27.0033867,-101.7247054,5029,NA,NA,NA,7.8,0.926695842450766,0.000547045951859956,0.000535045478865704,2,0,2113.2,"PRD",12652184,12652184,2545838.2,110,315418288
"62","Coahuila de Zaragoza","Saltillo",25.4267244,-100.9954254,5030,NA,NA,NA,9.7,0.961020662337826,0.00169295661753738,0.00286067863991558,1.83394607843137,18,664167.8,"PRI",981592512,981592512,2545838.2,110,315418288
"63","Coahuila de Zaragoza","San Buenaventura",27.060027,-101.546624,5031,NA,NA,NA,8.8,0.957947419892999,0.00120807685669907,0.00157436041608097,1.46428571428571,0,20125.8,"PRI",32939239,32939239,2545838.2,110,315418288
"64","Coahuila de Zaragoza","San Juan de Sabinas",27.9270787,-101.3023954,5032,NA,NA,NA,8.9,0.960682221158988,0.000647322056795474,0.00206571735478007,1.14666666666667,1,40421.8,"PRI",63710364,63710364,2545838.2,110,315418288
"65","Coahuila de Zaragoza","San Pedro",25.75878,-102.977996,5033,NA,NA,NA,7.4,0.924452523366782,0.00054041439958732,0.00122050447518308,1.34313725490196,6,95471.6,"PRD",119509078,119509078,2545838.2,110,315418288
"66","Coahuila de Zaragoza","Sierra Mojada",27.2701522,-103.6928081,5034,NA,NA,NA,7.5,0.946227041380836,0.00110643947776057,0.00344456404736276,1,0,5471,"PRI",19180306,19180306,2545838.2,110,315418288
"67","Coahuila de Zaragoza","Torreon",25.5428443,-103.4067861,5035,NA,NA,NA,9.9,0.963304625659135,0.00159553809872717,0.00310656820071404,1.80100755667506,36,589907.4,"PAN",1104886852,1104886852,2545838.2,110,315418288
"68","Coahuila de Zaragoza","Viesca",25.3384294,-102.7998254,5036,NA,NA,NA,6.4,0.903078950521145,0.000838624655564874,0.00104993000466636,85.8888888888889,3,19726.2,"PRI",27393105,27393105,2545838.2,110,315418288
"69","Coahuila de Zaragoza","Villa Union",28.2237682,-100.7255689,5037,NA,NA,NA,6.9,0.935532233883059,0.00149925037481259,0.00146466495789088,10.75,0,6168.2,"PRI",18064623,18064623,2545838.2,110,315418288
"70","Coahuila de Zaragoza","Zaragoza",28.4914094,-100.9195059,5038,NA,NA,NA,7.1,0.93393536121673,0.000760456273764259,0.000926011667747014,1.3,0,12469.2,"PRI",26734408,26734408,2545838.2,110,315418288
"71","Colima","Armeria",18.93372,-103.953201,6001,2280.7,5212.9,2.3,6.3,0.872254202164403,0.000414460050656228,0.00341296928327645,0.552631578947368,6,25690.2,"PRD",78271403,78271403,584507.8,43,51426652
"72","Colima","Colima",19.2433112,-103.7247534,6002,1101.5,25789.2,23.4,9.5,0.950876978335533,0.00124970505212931,0.00492264416315049,0.862369337979094,11,135199.2,"PAN",329217222,329217222,584507.8,43,51426652
"73","Colima","Comala",19.3208333,-103.7602778,6003,1237,2811.3,2.3,7.1,0.932270916334661,0.00124873639769281,0.0039523394362104,1.23529411764706,0,19773.6,"PAN",56885468,56885468,584507.8,43,51426652
"74","Colima","Coquimatlan",19.3,-104.1,6004,1684.1,3536.7,2.1,6.8,0.893995503240312,0.000462901732575056,0.0026549245612899,1.51219512195122,1,17767.4,"PRI",51386144,51386144,584507.8,43,51426652
"75","Colima","Cuauhtemoc",19.327951,-103.60181,6005,1665.1,4876.5,2.9,7.8,0.935383645533141,0.00139589337175793,0.0048460284594035,0.472727272727273,0,25882.2,"PRI",70258103,70258103,584507.8,43,51426652
"76","Colima","Ixtlahuacan",19.0022227,-103.7367866,6006,933.4,3200.1,3.4,6.3,0.887553041018388,0.000942951438000943,0.00230733733271804,1.7,0,4867.2,"PAN",45700085,45700085,584507.8,43,51426652
