Área Geográfica Clave	Nombre	Party previous before 2006	Party first in Calderon period	Party last in Calderon period	2007 Sketch Strafor Cartel	2010 Sketch Strafor Cartel	Intervention Indicator	Ingresos y Egresos Públicos (Pesos) 1990 Partida Egresos	Ingresos	1991 Partida Egresos	Ingresos2	1992 Partida Egresos	Ingresos3	1993 Partida Egresos	Ingresos4	1994 Partida Egresos	Ingresos5	1995 Partida Egresos	Ingresos6	1996 Partida Egresos	Ingresos7	1997 Partida Egresos	Ingresos8	1998 Partida Egresos	Ingresos9	1999 Partida Egresos	Ingresos10	2000 Partida Egresos	Ingresos11	2001 Partida Egresos	Ingresos12	2002 Partida Egresos	Ingresos13	2003 Partida Egresos	Ingresos14	2004 Partida Egresos	Ingresos15	2005 Partida Egresos	Ingresos16	2006 Partida Egresos	Ingresos17	2007 Partida Egresos	Ingresos18	2008 Partida Egresos	Ingresos19	2009 Partida Egresos	Ingresos20	2010 Partida Egresos	Ingresos21
7019	Comitán de Domínguez	PRI	PRD	PRI	N	Z	0	6396794	6396794	7189500	7189500	10744919	10744919	25247281	25247281	28737243	28737243	21037888	21037888	29338970	29338970	47979267	47979267	59671757	59671757	96816608	96816608	123293703	123293703	121547584	121547584	123019343	123019343	143007175	143007175	165926516	165926516	157677056	157677056	232544718	232544718	323514599	323514599	289697454	289697454	301221639	301221639	291220073	291220073
7020	La Concordia	Other	PRI	PAN-PRD	N	S	0	1384441	1384441	1651700	1651700	1759873	1759873	2837334	2837334	4078310	4078310	3336497	3336497	4379578	4379578	5922190	5922190	8644456	8644456	9524395	9524395	13623354	13623354	0	0	53218991	53218991	58558630	58558630	65230676	65230676	65241096	65241096	95869322	95869322	101658151	101658151	106804289	106804289	135688180	135688180	115665051	115665051
7021	Copainalá	PRD	PRI	PRI	N	Z	0	1158292	1158292	1229800	1229800	1076769	1076769	1890966	1890966	1869853	1869853	1892404	1892404	5309122	5309122	8022690	8022690	4321195	4321195	15030029	15030029	20574402	20574402	0	0	23009302	23009302	27177724	27177724	29222937	29222937	0	0	37189562	37189562	51263118	51263118	52873201	52873201	54684780	54684780	0	0
7022	Chalchihuitán	PRI	PRI	Other	N	Z	0	450648	450648	860300	860300	560677	560677	667000	667000	1357800	1357800	1222612	1222612	1886260	1886260	2939705	2939705	3396851	3396851	3838776	3838776	6820444	6820444	0	0	0	0	25056678	25056678	0	0	0	0	40308392	40308392	0	0	54331821	54331821	58840359	58840359	0	0
7023	Chamula	PRI	PRI	PRI	N	Z	0	875061	875061	1778100	1778100	2420061	2420061	3042000	3042000	3826659	3826659	12177147	12177147	3707182	3707182	4462442	4462442	5356662	5356662	7645141	7645141	12103246	12103246	0	0	89172354	89172354	93275964	93275964	0	0	0	0	0	0	0	0	175628852	175628852	0	0	0	0
7024	Chanal	PRI	PRD	PRI	N	Z	0	458594	458594	610400	610400	671288	671288	894167	894167	1881570	1881570	1087580	1087580	1508857	1508857	2444552	2444552	3609655	3609655	3580378	3580378	4722026	4722026	0	0	0	0	26122470	26122470	0	0	0	0	32875503	32875503	33590421	33590421	38598967	38598967	37659407	37659407	0	0
7025	Chapultenango	PAN	PRD	PAN-PRD	N	Z	0	738610	738610	804200	804200	780574	780574	1073000	1073000	1187567	1187567	1079262	1079262	1596611	1596611	2877258	2877258	3390337	3390337	3699777	3699777	4424572	4424572	0	0	12227093	12227093	11835873	11835873	0	0	0	0	22738937	22738937	24454973	24454973	22449851	22449851	25069371	25069371	25529213	25529213
7026	Chenalhó	PRI	PRI	PRI	N	Z	0	629130	629130	951500	951500	1059214	1059214	1929626	1929626	1560730	1560730	1656575	1656575	2008553	2008553	3241804	3241804	4456546	4456546	4586603	4586603	7410279	7410279	0	0	47891388	47891388	52981089	52981089	60964331	60964331	0	0	75325319	75325319	99114338	99114338	112409539	112409539	139536338	139536338	107434165	107434165
7027	Chiapa de Corzo	PRI	PRI	PRI	N	Z	0	2532159	2532159	3331800	3331800	3328630	3328630	4335310	4335310	4022036	4022036	5147023	5147023	11709806	11709806	17926973	17926973	25987570	25987570	15102528	15102528	20795567	20795567	0	0	61659062	61659062	63352005	63352005	63865818	63865818	76883543	76883543	107175782	107175782	126181580	126181580	129218070	129218070	167156270	167156270	168558553	168558553
7028	Chiapilla	PAN	PAN	PRI	N	Z	0	496107	496107	575400	575400	545629	545629	991000	991000	1609426	1609426	1109268	1109268	1611072	1611072	1929406	1929406	2731405	2731405	3397931	3397931	4509750	4509750	0	0	12290053	12290053	11480566	11480566	15024935	15024935	14262099	14262099	21564348	21564348	25523962	25523962	20818467	20818467	22371465	22371465	19594986	19594986
7029	Chicoasén	PRI	PAN	PRI	N	Z	0	494239	494239	477700	477700	558863	558863	859382	859382	875464	875464	955658	955658	1328724	1328724	1867587	1867587	2424379	2424379	2630772	2630772	3485339	3485339	0	0	9533080	9533080	8636558	8636558	11030176	11030176	11459177	11459177	13497474	13497474	23274616	23274616	0	0	0	0	0	0
7030	Chicomuselo	PRI	PRD	Other	N	Z	0	1455137	1455137	1928800	1928800	1953970	1953970	2777277	2777277	2796999	2796999	3432265	3432265	10296681	10296681	6869229	6869229	8069737	8069737	10105924	10105924	11413282	11413282	0	0	32785368	32785368	37264711	37264711	0	0	43575384	43575384	55863442	55863442	52557562	52557562	63728100	63728100	59321067	59321067	0	0
7031	Chilón	PRD	PRI	Other	N	Z	0	1226028	1226028	2182900	2182900	2375135	2375135	3414070	3414070	4347991	4347991	4520994	4520994	5683667	5683667	8590444	8590444	15304000	15304000	13750246	13750246	20640559	20640559	0	0	140913961	140913961	143060825	143060825	187909426	187909426	0	0	211859599	211859599	227452222	227452222	276231820	276231820	375229831	375229831	327208120	327208120
7032	Escuintla	PRI	PAN	Other	N	S	0	1568803	1568803	2237700	2237700	2004417	2004417	3334483	3334483	3546450	3546450	3148839	3148839	4380668	4380668	5968338	5968338	7626440	7626440	8972072	8972072	11847923	11847923	0	0	35652923	35652923	40280230	40280230	44997766	44997766	44052247	44052247	57759970	57759970	62252336	62252336	82587106	82587106	92792071	92792071	78401340	78401340
7033	Francisco León	PAN	PAN	Other	N	Z	0	0	0	0	0	0	0	0	0	0	0	0	0	1535577	1535577	1756315	1756315	2604720	2604720	2593161	2593161	3476590	3476590	0	0	14232096	14232096	12612290	12612290	14962727	14962727	14595196	14595196	23087205	23087205	24122197	24122197	23340546	23340546	24702749	24702749	0	0
