	1990-t	1990-h	1991-t	1991-h	1992-t	1992-h	1993-t	1993-h	1994-t	1994--h	1995-t	1995-h	1996-t	1996-h	1997-t	1997-h	1998-t	1998-h	1999-t	1999-h	2000-t	2000-h	2001-t	2001-h	2022-t	2002-h	2003-t	2003-h	2004-t	2004-h	2005-t	2005-h	2006-t	2006-h	2007-t	2007-h	2008-t	2008-h	2009-t	2009-h	2010-t	2010-h
El Llano	0	0	0	0	0	0	6	2	8	0	6	0	8	1	4	0	8	2	6	0	7	1	5	1	6	1	5	2	7	0	8	0	5	1	13	0	4	0	13	1	23	2
San Francisco de los Romo	0	0	0	0	0	0	15	2	14	1	18	1	6	0	8	0	20	0	12	0	13	0	11	0	9	0	16	1	10	1	13	0	11	0	21	1	18	1	18	2	12	2
No especificado	2	0	3	1	0	0	1	0	0	0	1	0	1	1	1	0	2	0	1	1	0	0	0	0	1	0	6	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Otros estados	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Baja California	1409	249	1379	280	1454	288	1424	265	1427	320	1652	369	1692	360	1720	318	1934	547	1958	595	1846	411	1751	386	1732	403	1863	419	1916	442	1973	411	1907	434	1832	351	2307	1004	3021	1498	2922	1503
Ensenada	248	37	217	35	257	55	247	26	234	55	255	61	252	49	219	43	289	73	313	76	266	51	248	36	282	38	284	35	331	51	252	39	305	55	297	54	308	72	354	86	326	65
Mexicali	476	85	461	74	475	89	477	68	503	87	553	94	564	97	560	75	584	139	556	153	503	97	504	123	523	101	483	102	503	101	541	104	468	76	437	56	445	109	659	208	560	125
Tecate	68	10	53	7	47	4	52	10	54	17	69	19	39	9	51	12	68	17	68	15	65	19	66	23	59	11	66	11	61	13	85	9	67	14	62	17	84	38	176	78	131	37
Tijuana	615	116	645	163	675	140	648	161	635	161	773	194	794	195	850	182	952	308	986	341	964	234	885	199	813	241	960	255	972	272	1024	244	1004	271	973	206	1365	726	1732	1083	1829	1243
Playas de Rosarito	0	0	0	0	0	0	0	0	0	0	1	0	39	7	40	6	40	10	34	10	47	10	47	5	55	12	68	16	49	5	71	15	63	18	61	18	105	59	99	43	76	33
No especificado	2	1	3	1	0	0	0	0	1	0	1	1	4	3	0	0	1	0	1	0	1	0	1	0	0	0	2	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0
Otros estados	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Baja California Sur	179	11	170	16	194	19	198	21	196	26	197	34	245	26	244	35	213	17	210	34	241	30	221	21	249	35	245	24	259	32	329	33	299	26	389	35	358	36	299	35	314	57
Comondú	39	2	32	6	35	7	27	4	34	2	33	5	38	4	29	4	29	1	35	6	45	6	31	3	32	5	43	2	39	2	64	2	33	1	61	7	30	2	35	5	38	7
Mulegé	24	1	46	2	30	0	32	1	24	2	32	4	25	4	43	6	32	1	26	4	27	2	24	4	30	3	35	3	39	4	39	3	32	4	42	3	36	2	35	3	40	6
La Paz	70	5	56	4	82	3	96	9	84	14	88	14	102	9	94	14	84	8	87	14	99	8	85	7	113	15	93	10	99	14	117	14	120	10	127	7	116	10	122	13	129	24
Los Cabos	46	3	35	4	47	9	38	7	49	8	36	10	72	8	68	9	66	7	57	9	64	14	70	6	71	12	70	7	73	12	98	14	100	11	143	15	155	21	98	13	99	20
Loreto	0	0	0	0	0	0	5	0	5	0	8	1	6	0	9	2	2	0	5	1	6	0	9	1	3	0	4	2	8	0	11	0	14	0	14	2	19	1	9	1	8	0
No especificado	0	0	1	0	0	0	0	0	0	0	0	0	2	1	1	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	2	1	2	0	0	0	0	0
Otros estados	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Campeche	418	85	400	69	371	87	358	78	342	75	359	93	366	78	404	78	393	84	398	74	376	64	322	50	380	51	366	39	327	33	365	49	350	32	356	46	415	55	452	58	396	49
Calkiní	16	2	24	1	9	1	13	1	13	1	13	3	12	0	18	1	13	2	26	3	15	5	16	0	27	1	22	0	18	1	20	2	20	0	27	2	21	0	26	0	15	1
Campeche	135	17	125	17	112	29	123	30	104	24	111	24	113	21	85	15	113	29	114	19	118	12	103	15	110	19	106	10	94	5	104	14	106	9	87	5	128	18	124	13	106	10
Carmen	184	48	171	35	123	20	104	23	117	32	123	32	113	23	151	39	124	20	113	27	111	21	94	14	116	16	115	17	104	9	108	17	107	13	129	22	117	13	153	28	111	20
Champotón	47	15	50	13	39	12	49	8	48	5	35	10	53	16	67	8	41	10	41	7	45	10	38	5	38	5	40	5	47	8	46	5	34	4	32	6	45	7	37	2	49	9
Hecelchakán	10	2	3	0	8	2	11	0	6	1	15	1	11	0	12	0	15	2	14	2	9	0	4	0	18	0	14	0	3	0	11	0	9	0	12	1	12	2	15	0	15	1
Hopelchén	8	0	11	3	19	7	17	3	10	3	13	4	14	3	18	4	12	1	11	1	11	1	8	1	6	0	11	1	6	1	16	2	10	0	9	2	13	0	14	2	15	0
Palizada	10	1	12	0	11	1	3	0	6	0	3	1	2	0	6	0	5	1	4	0	2	0	4	1	8	1	9	0	8	0	9	0	6	0	5	0	5	0	6	1	8	0
Tenabo	7	0	4	0	2	0	1	0	3	0	5	0	4	1	4	0	1	1	5	1	2	0	2	0	3	0	3	0	3	0	4	0	3	1	1	0	3	0	3	1	7	0
Escárcega	0	0	0	0	48	15	35	13	34	9	41	18	44	14	43	11	35	7	35	4	38	7	28	7	24	2	18	2	20	3	27	1	27	1	23	5	26	5	33	8	34	5
Calakmul	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	5	12	1	9	4	3	0	13	1	11	0	9	2	9	3	11	1	10	0	21	4	12	0	17	0
Candelaria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	9	16	4	22	7	17	6	16	4	15	4	11	5	16	3	21	3	24	6	29	3	19	3
No especificado	1	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	17	6	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
Otros estados	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Coahuila de Zaragoza	1208	179	1162	221	1141	219	1241	214	1179	215	1032	177	1082	169	1110	153	1055	139	980	154	958	122	1043	153	1091	138	1011	122	940	121	1116	150	1114	110	1204	113	1197	198	1438	305	1758	484
Abasolo	0	0	2	1	1	0	2	0	0	0	0	0	1	0	3	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0
Acuña	34	7	58	13	35	8	35	9	50	13	44	7	49	8	55	15	61	8	50	9	56	13	47	8	39	7	54	9	56	19	51	6	51	9	45	3	62	7	61	8	65	6
Allende	10	0	12	1	13	0	17	3	6	5	13	0	14	0	7	0	12	0	6	0	16	1	6	2	11	1	12	0	10	1	7	0	9	0	13	1	5	0	8	3	21	3
Arteaga	9	1	10	0	14	2	16	0	21	0	10	0	13	1	9	0	15	0	16	2	3	0	9	3	6	0	11	0	10	1	8	0	4	0	11	0	9	0	13	0	18	5
Candela	3	0	2	0	4	1	2	0	1	0	1	0	0	0	0	0	3	1	4	0	0	0	0	0	1	0	0	0	0	0	2	0	3	0	3	0	2	0	4	0	1	0
Castaños	22	0	15	0	26	4	24	0	14	1	19	4	11	1	21	1	18	0	9	2	10	1	11	2	8	0	16	3	8	2	9	2	13	1	11	1	8	0	14	1	12	2
Cuatro Ciénegas	6	0	8	0	6	0	11	4	6	1	1	0	5	1	3	0	3	0	7	0	9	1	8	1	7	1	3	0	2	0	4	0	7	0	5	0	4	0	11	1	7	1
Escobedo	1	0	5	0	2	0	2	0	1	0	2	0	0	0	1	0	3	0	3	1	10	0	0	0	1	0	2	0	1	0	2	0	0	0	1	0	0	0	1	0	2	0
Francisco I. Madero	12	1	26	4	26	11	30	12	20	3	13	5	26	5	23	2	23	3	26	6	18	2	23	3	27	5	15	0	20	1	31	5	29	0	20	1	24	4	42	11	44	13
Frontera	30	10	43	8	34	7	30	6	37	5	19	2	35	5	33	2	29	4	29	2	18	1	24	1	19	1	30	6	17	0	19	3	28	4	49	3	28	1	30	5	29	6
General Cepeda	12	7	9	4	7	1	16	3	10	3	4	0	7	0	3	0	3	0	9	0	6	0	8	0	4	0	7	0	4	0	13	3	10	2	9	1	8	1	6	1	9	1
Guerrero	3	1	3	0	0	0	1	0	2	0	1	0	0	0	2	0	2	0	3	2	0	0	5	2	2	0	0	0	0	0	1	0	1	1	3	0	2	0	1	0	0	0
Hidalgo	2	0	2	1	0	0	1	0	2	2	0	0	3	0	3	2	1	0	3	2	1	0	0	0	0	0	5	2	3	1	7	0	0	0	0	0	1	0	2	1	1	0
Jiménez	6	0	5	1	4	0	10	0	18	3	7	1	7	3	11	0	7	0	5	1	4	2	11	1	10	0	5	0	4	0	13	5	4	2	11	2	10	2	7	0	9	1
Juárez	3	0	0	0	1	0	2	0	2	1	0	0	0	0	1	0	2	0	1	0	0	0	1	0	1	0	0	0	1	0	1	0	1	0	2	0	2	0	1	0	1	0
Lamadrid	0	0	0	0	0	0	3	0	1	0	0	0	1	0	3	0	0	0	0	0	0	0	1	0	1	0	2	2	1	0	0	0	2	0	0	0	0	0	1	0	1	0
Matamoros	58	32	70	25	43	12	63	27	56	19	44	17	48	14	39	10	47	14	38	13	49	10	39	7	34	7	47	4	43	6	72	13	44	4	37	3	69	15	67	31	58	14
Monclova	100	13	92	16	101	16	102	13	85	6	93	7	75	8	65	7	73	10	72	10	65	4	71	12	80	3	80	9	60	11	88	17	76	6	66	6	65	2	103	20	87	10
Morelos	2	0	5	0	5	1	5	3	6	0	3	0	0	0	8	0	4	0	5	1	8	1	5	0	6	1	1	0	3	0	5	1	1	0	2	0	2	0	7	0	6	2
Múzquiz	41	9	23	2	33	3	37	5	47	8	26	5	39	9	38	2	40	5	34	1	35	6	32	4	43	2	38	6	24	5	28	3	31	1	55	3	40	8	42	1	41	4
Nadadores	2	0	1	0	1	1	3	0	0	0	2	0	4	0	3	0	12	6	1	0	1	0	1	0	4	1	3	0	5	1	0	0	0	0	7	0	7	0	11	0	4	0
Nava	7	0	5	1	12	0	10	2	10	0	6	1	6	2	15	1	9	0	9	0	11	1	8	0	15	0	11	2	6	1	7	0	19	1	17	0	14	2	6	1	19	2
Ocampo	7	1	20	6	4	1	6	2	16	4	3	0	7	0	2	0	2	0	7	3	5	0	2	0	2	0	8	1	5	1	5	0	6	0	4	0	4	1	8	1	8	0
Parras	19	3	32	4	25	1	25	0	33	6	19	3	23	5	22	0	19	0	16	1	23	1	28	2	34	4	22	1	13	3	20	4	20	2	21	3	15	4	21	1	26	5
Piedras Negras	39	3	59	7	65	20	64	18	60	12	77	17	80	17	74	11	94	17	73	13	73	7	82	15	77	25	65	13	88	10	69	9	69	9	80	7	59	9	82	13	104	24
Progreso	5	0	0	0	1	0	2	0	1	0	2	0	2	0	3	0	0	0	1	0	1	1	0	0	1	0	3	0	3	0	2	0	6	0	1	0	0	0	0	0	3	0
Ramos Arizpe	17	0	22	1	15	5	15	1	16	1	15	1	22	1	20	0	16	1	19	5	11	2	21	1	29	1	16	1	21	1	22	3	32	1	27	1	22	0	43	4	49	6
Sabinas	26	0	25	3	19	3	31	3	20	0	24	3	21	2	38	4	25	2	21	2	24	2	30	4	19	0	17	1	16	1	26	2	25	3	31	2	17	4	28	5	19	6
Sacramento	4	0	1	1	0	0	1	0	0	0	4	0	3	0	2	0	0	0	6	1	2	0	2	0	0	0	0	0	0	0	0	0	0	0	3	0	2	0	0	0	0	0
Saltillo	240	23	176	25	175	21	236	38	226	31	216	41	219	28	221	26	188	18	210	21	202	21	229	24	267	26	237	20	202	19	258	26	233	18	261	33	264	18	292	28	329	46
San Buenaventura	15	2	16	0	10	4	8	0	8	0	16	2	11	0	10	1	13	1	8	0	6	0	9	1	14	0	4	0	8	0	6	0	9	0	8	0	14	2	7	1	21	1
San Juan de Sabinas	29	0	14	1	23	7	22	2	19	4	16	0	23	2	21	1	13	2	7	1	18	0	35	1	15	3	30	2	15	1	13	1	30	1	41	2	22	3	16	3	29	7
San Pedro	48	20	38	15	38	8	44	14	51	14	30	8	38	11	33	5	31	6	40	11	56	7	35	7	44	11	33	5	43	4	44	9	42	6	61	8	63	14	48	8	53	11
Sierra Mojada	10	0	11	3	0	0	6	1	6	0	2	0	3	2	2	0	3	0	1	0	2	0	1	0	0	0	2	0	0	0	1	0	9	0	1	1	2	0	5	2	5	1
Torreón	349	42	334	77	382	79	339	43	299	67	276	49	270	38	290	59	255	34	223	41	203	36	243	49	244	34	213	34	227	29	261	35	264	36	271	32	327	100	431	152	640	302
Viesca	25	3	5	0	9	2	8	3	11	2	13	4	9	3	12	4	11	5	9	2	6	2	9	1	16	5	12	1	10	2	14	3	23	3	12	0	10	1	9	3	25	3
Villa Unión	2	0	6	1	0	0	5	1	8	2	3	0	2	0	5	0	6	2	4	0	1	0	1	0	6	0	3	0	0	0	3	0	3	0	4	0	3	0	2	0	3	1
Zaragoza	10	1	5	0	6	1	7	1	9	2	5	0	4	2	9	0	12	0	4	1	4	0	6	2	3	0	3	0	11	1	4	0	9	0	7	0	7	0	8	0	8	1
No especificado	0	0	2	0	1	0	0	0	1	0	3	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	3	0	4	0	0	0	1	0
Otros estados	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Otros municipios	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Colima	430	80	447	101	480	126	328	69	371	77	346	70	278	50	331	57	271	62	281	52	283	54	302	60	281	47	293	48	287	49	269	48	289	43	307	41	335	59	344	61	397	132
Armería	37	7	34	10	36	15	17	4	24	4	19	3	21	4	25	1	31	5	6	3	17	6	21	5	14	2	15	2	25	2	17	2	17	6	18	2	16	5	14	4	23	5
Colima	107	16	113	27	131	26	73	12	84	14	80	20	71	13	86	21	71	15	86	18	58	14	72	17	82	16	71	11	79	16	63	9	66	11	75	8	89	16	73	12	87	38
Comala	13	0	16	5	15	3	15	5	9	1	13	2	7	2	12	0	6	5	12	1	6	0	7	1	8	0	10	0	9	1	10	2	11	0	9	3	10	1	5	1	11	5
Coquimatlán	13	3	21	5	20	7	15	3	12	2	15	5	9	3	11	0	6	0	14	4	16	2	5	0	10	3	10	2	13	3	9	1	13	1	11	2	9	1	13	2	11	4
Cuauhtémoc	15	2	21	2	13	1	14	3	18	5	18	2	15	2	14	2	14	3	13	2	19	4	25	3	15	1	13	2	12	0	13	2	17	0	10	1	17	5	17	1	26	3
Ixtlahuacán	8	0	4	1	7	4	2	1	4	1	3	0	6	0	4	0	3	2	5	1	5	1	3	2	3	0	0	0	4	0	0	0	2	0	0	0	4	1	5	1	8	3
Manzanillo	115	23	109	25	102	26	74	14	108	21	92	17	66	10	78	12	62	16	68	11	74	12	67	10	63	9	61	11	54	9	61	12	75	11	81	13	94	15	112	23	79	27
Minatitlán	5	2	5	1	7	2	7	1	10	0	6	3	5	2	5	0	3	1	3	0	10	2	6	0	2	1	2	0	5	0	2	0	5	2	4	0	1	0	11	1	0	0
Tecomán	97	25	96	22	114	32	80	19	79	24	73	14	52	10	62	17	57	11	54	8	57	11	62	16	55	10	65	11	57	13	65	16	60	11	63	7	56	13	56	12	102	30
Villa de Álvarez	20	2	22	1	34	10	31	7	23	5	27	4	25	4	34	4	18	4	20	4	21	2	34	6	28	4	46	9	29	5	29	4	23	1	36	5	38	2	38	4	50	17
No especificado	0	0	6	2	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
Otros estados	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Chiapas	1803	277	1946	475	1858	438	2021	502	2275	635	2452	703	2273	636	2425	599	2698	820	2332	594	2197	414	2054	182	2148	474	2037	438	1967	233	2125	300	2402	534	1999	113	2138	256	2271	494	2297	210
Acacoyagua	9	1	10	2	5	1	11	2	7	4	15	5	3	1	9	2	16	4	12	3	11	4	9	4	15	0	8	1	16	1	16	0	12	3	10	0	12	2	22	2	11	0
Acala	17	2	15	3	8	1	10	4	16	8	10	4	7	3	15	3	17	1	11	3	8	1	16	2	19	4	18	2	11	0	12	0	15	0	8	0	8	0	15	1	17	2
Acapetahua	22	6	22	11	24	10	28	10	23	10	23	15	26	11	31	13	33	17	20	6	27	10	22	0	13	6	18	7	18	4	17	2	21	8	11	0	21	6	21	3	16	2
Altamirano	8	3	2	0	5	0	5	1	18	4	5	1	4	1	4	0	5	2	18	4	9	0	7	1	8	2	6	1	2	0	6	0	8	1	10	0	10	0	9	0	7	0
Amatán	8	3	15	8	5	1	5	3	8	3	7	5	7	3	7	0	12	1	7	0	12	4	14	1	5	0	15	2	8	4	11	0	7	0	10	1	18	0	14	2	27	1
Amatenango de la Frontera	11	4	39	15	17	3	8	2	17	5	18	3	16	3	19	7	21	6	54	1	11	2	15	2	9	3	16	5	16	1	18	0	16	2	10	0	16	2	12	1	7	2
Amatenango del Valle	2	1	10	6	10	5	6	3	1	0	6	3	6	4	13	9	7	4	4	1	5	1	4	2	13	2	4	3	5	1	5	0	6	2	4	0	4	2	5	2	2	0
Angel Albino Corzo	3	0	3	0	16	2	7	0	13	2	27	8	26	8	28	8	30	10	21	7	15	2	17	0	19	4	9	4	11	2	18	4	8	1	13	1	12	1	8	1	15	3
Arriaga	26	0	26	2	37	8	36	8	34	10	32	14	23	8	31	10	42	19	31	13	25	7	27	4	27	4	32	5	21	1	29	5	34	12	18	2	24	1	23	3	17	3
Bejucal de Ocampo	0	0	3	1	2	0	2	1	1	0	3	0	1	0	4	1	4	0	6	0	2	0	2	0	4	1	4	0	1	1	3	0	7	1	6	0	6	0	7	0	4	0
Bella Vista	11	3	8	6	6	4	12	5	6	1	14	2	12	2	9	3	2	1	6	1	11	4	4	0	8	2	4	1	6	1	4	0	3	1	7	0	4	0	14	1	10	0
Berriozábal	8	2	10	1	24	2	15	0	18	1	11	2	11	1	18	3	10	4	18	4	17	2	16	3	12	0	13	8	10	2	27	6	26	4	15	2	10	2	19	4	29	3
Bochil	6	0	5	1	9	0	8	4	10	3	6	3	11	9	22	9	6	4	7	2	11	4	12	0	14	2	16	5	13	2	11	3	7	1	10	1	6	0	11	3	4	0
El Bosque	4	2	8	3	5	1	3	0	8	3	11	2	3	2	17	1	7	3	17	3	12	9	7	0	8	3	7	2	7	1	3	1	4	1	8	0	6	2	4	0	7	0
Cacahoatán	12	0	17	3	13	3	16	3	15	5	15	6	16	3	17	3	41	15	14	3	18	4	23	0	20	6	21	5	21	5	23	3	27	8	14	1	17	1	22	10	23	1
Catazajá	12	3	13	2	8	3	8	3	7	2	22	6	11	4	13	1	14	1	8	3	14	1	15	0	21	2	2	0	12	3	10	0	12	1	6	1	7	1	12	0	13	0
Cintalapa	43	13	35	7	44	12	32	11	32	13	43	16	39	13	51	10	51	23	43	7	42	4	37	2	25	7	31	8	24	0	31	13	33	9	37	1	33	2	40	10	39	2
Coapilla	5	0	0	0	3	0	1	1	2	0	4	2	1	0	4	0	6	0	4	0	4	0	2	0	10	0	5	0	1	1	7	1	5	2	2	0	7	2	2	0	1	0
Comitán de Domínguez	50	14	47	10	51	13	45	11	75	28	68	12	63	12	47	11	77	14	52	13	54	4	56	0	57	1	72	9	63	5	71	5	64	14	47	0	70	1	94	15	76	2
La Concordia	15	0	14	3	19	3	33	3	30	8	33	7	33	15	30	10	29	8	16	1	21	4	18	2	34	7	28	4	33	4	17	1	16	4	8	0	28	2	15	3	18	2
Copainalá	15	0	6	1	6	0	10	1	21	11	20	6	17	6	21	8	30	14	17	5	16	2	19	1	29	6	9	1	11	3	2	0	5	1	9	0	10	1	12	3	12	0
Chalchihuitán	2	2	2	2	10	2	0	0	1	1	5	3	7	1	2	2	10	3	1	0	2	1	4	3	5	1	6	1	9	2	11	1	4	0	10	0	23	1	13	3	6	1
Chamula	15	6	11	6	19	2	11	2	19	13	18	12	8	3	30	11	21	8	14	6	17	5	12	0	36	7	25	7	15	3	31	3	30	9	16	2	13	2	17	5	8	0
Chanal	4	0	3	3	6	3	2	1	6	4	6	0	2	1	7	2	8	4	5	1	3	0	5	0	2	0	3	0	2	0	1	0	8	3	5	1	9	1	4	0	1	0
Chapultenango	1	0	2	0	4	0	6	0	1	1	10	5	6	3	6	3	1	0	6	2	4	1	1	1	5	0	2	0	3	0	1	0	4	0	4	0	4	0	2	0	1	0
Chenalhó	5	1	9	2	12	3	6	3	7	1	3	3	5	5	20	8	15	2	11	0	12	3	7	1	12	4	6	1	9	1	10	0	20	2	6	0	7	0	5	2	9	0
Chiapa de Corzo	37	3	32	6	27	14	57	24	39	9	28	9	40	3	55	11	48	10	39	4	44	3	37	0	45	9	30	5	28	5	34	2	51	7	59	5	50	3	47	6	33	2
Chiapilla	3	0	5	0	1	0	5	1	4	2	5	2	5	2	2	0	4	0	4	0	1	0	0	0	0	0	0	0	2	0	2	0	1	0	6	1	0	0	5	0	0	0
Chicoasén	7	0	4	1	2	0	3	1	5	0	3	1	1	0	3	0	2	0	4	0	4	0	1	0	3	1	8	0	5	1	2	0	1	1	2	0	4	1	2	0	2	0
Chicomuselo	14	3	32	16	7	4	16	10	14	5	20	6	20	7	17	8	14	8	17	8	11	3	13	2	14	2	10	2	16	2	10	2	14	3	18	0	16	3	7	2	11	1
Chilón	19	3	26	5	15	1	26	4	26	9	31	6	27	5	33	9	26	5	22	7	30	4	39	3	30	14	31	8	33	5	30	7	35	8	29	2	37	4	50	14	35	5
Escuintla	23	16	19	8	17	9	28	10	25	17	25	14	13	6	18	13	29	5	20	6	18	8	13	5	9	2	18	3	13	3	10	2	23	5	19	0	16	3	28	8	23	5
Francisco León	0	0	0	0	0	0	1	0	2	1	0	0	3	0	2	0	3	0	0	0	1	0	1	0	1	0	2	0	4	0	6	1	3	1	4	0	3	1	1	0	3	1
Frontera Comalapa	31	6	36	12	31	14	31	14	29	10	48	8	37	8	32	6	41	16	21	3	32	12	29	3	32	10	26	7	21	0	32	7	25	5	17	0	33	3	25	5	29	5
Frontera Hidalgo	8	0	11	2	6	0	8	0	7	1	8	1	12	5	9	3	5	1	6	2	8	1	7	0	10	2	9	1	5	1	9	4	2	1	9	1	8	0	6	2	10	1
La Grandeza	1	0	2	1	0	0	1	0	3	0	1	1	4	0	1	0	3	0	1	0	3	0	9	0	2	0	3	0	3	0	4	0	1	0	2	0	0	0	5	2	5	0
Huehuetán	14	0	15	4	25	1	23	1	27	2	28	4	25	5	31	7	22	5	31	12	25	1	22	1	18	2	23	6	26	7	22	1	18	7	8	0	14	1	25	5	32	4
Huixtán	4	0	6	0	6	2	5	2	9	2	6	1	3	0	8	2	5	4	6	1	7	0	3	0	2	0	6	2	10	0	7	0	16	3	12	0	4	0	5	0	6	0
Huitiupán	13	5	17	13	8	2	14	4	13	7	27	0	38	0	23	0	16	0	14	5	10	6	14	2	10	4	16	4	8	2	9	1	13	5	12	0	5	0	16	2	17	0
Huixtla	34	9	31	11	49	17	32	13	41	13	40	13	28	9	45	11	48	13	39	13	44	17	31	2	41	10	27	11	32	11	31	4	51	16	38	4	30	9	38	12	49	11
La Independencia	6	2	14	2	2	0	5	1	4	0	13	4	5	0	5	0	5	1	5	0	9	1	2	1	7	1	4	0	7	1	4	0	11	1	3	0	2	1	5	0	13	1
Ixhuatán	5	0	3	0	9	3	4	0	3	1	4	1	4	2	1	1	4	1	8	4	4	1	4	0	6	1	5	0	3	0	5	1	6	3	1	0	6	0	4	2	4	1
Ixtacomitán	4	1	5	0	3	0	3	0	4	1	5	1	8	2	5	0	3	1	4	0	4	0	2	0	5	0	6	0	2	0	2	0	8	1	3	0	2	1	3	0	4	0
Ixtapa	7	2	8	3	1	1	6	3	9	4	6	2	2	0	6	2	9	1	5	1	5	0	4	0	8	1	7	0	12	0	7	0	5	1	4	0	18	0	2	0	3	0
Ixtapangajoya	1	0	1	0	4	0	3	2	1	0	0	0	5	0	4	3	1	0	5	2	3	1	4	0	1	0	6	1	1	0	1	0	4	0	0	0	4	0	3	0	2	1
Jiquipilas	11	3	23	2	20	3	18	1	19	1	20	4	15	7	13	1	21	9	9	2	14	2	19	3	10	0	13	5	20	2	15	3	19	4	12	0	22	1	14	4	22	3
Jitotol	0	0	2	1	4	0	3	0	2	0	13	2	11	5	8	5	6	1	6	3	6	2	7	0	2	0	2	0	1	0	7	1	8	3	6	1	3	0	3	0	2	0
Juárez	18	1	21	2	21	3	14	2	13	5	10	3	26	5	15	6	12	4	12	3	12	2	5	0	7	0	9	1	11	0	18	1	16	3	16	1	8	0	17	4	18	1
Larráinzar	2	0	6	2	1	0	5	0	9	0	6	1	6	3	11	1	4	2	5	2	11	2	4	1	9	1	7	0	5	0	7	1	12	2	9	0	6	0	8	3	7	0
