Nombre	1990 E	1990 I	1990 T	1990 H	1991 E	1991 I	1991 T	1991 H	1992 E	1992 I	1992 T	1992 H	1993 E	1993 I	1993 T	1993 H	1994 E	1994 I	1994 T	1994 H	1995 E	1995 I	1995 T	1995 H	1996 E	1996 I	1996 T	1996 H	1997 E	1997 I	1997 T	1997 H	1998 E	1998 I	1998 T	1998 H	1999 E	1999 I	1999 T	1999 H	2000 E	2000 I	2000 T	2000 H	2001 E	2001 I	2001 T	2001 H	2002 E	2002 I	2002 T	2002 H	2003 E	2003 I	2003 T	2003 H	2004 E	2004 I	2004 T	2004 H	2005 E	2005 I	2005 T	2005 H	2006 E	2006 I	2006 T	2006 H	2007 E	2007 I	2007 T	2007 H	2008 E	2008 I	2008 T	2008 H	2009 E	2009 I	2009 T	2009 H	2010E	2010 I	2010 T	2010 H
Acatlán	225751	225751	4	0	312627	312627	3	0	408375	408375	2	0	739313	739313	3	1	810514	810514	0	0	1144980	1144980	2	0	1531764	1531764	1	0	1918268	1918268	1	0	2588314	2588314	3	1	3097509	3097509	4	1	3908097	3908097	1	0	5182426	5182426	1	0	8903490	8903490	1	0	6118332	6118332	2	0	6460470	6460470	3	0	8109820	8109820	1	0	9395602	9395602	2	0	8587879	8587879	2	0	11276088	11276088	0	0	11244681	11244681	4	0	11760543	11760543	1	0
Acatlán de Juárez	1014698	1014698	19	0	1397766	1397766	6	0	3424250	3424250	13	1	2507224	2507224	17	1	2501803	2501803	15	4	3469012	3469012	12	4	5487914	5487914	9	0	7321984	7321984	17	0	9843416	9843416	14	1	13791091	13791091	13	0	0	0	13	1	19241239	19241239	14	1	21593309	21593309	15	1	25085466	25085466	7	2	26421241	26421241	14	0	27464770	27464770	19	1	33701094	33701094	8	0	37587879	37587879	12	0	61593068	61593068	9	1	58323719	58323719	16	0	0	0	12	0
Acatlán de Pérez Figueroa	457887	457887	38	25	497763	497763	39	15	1152370	1152370	20	4	1506183	1506183	28	8	2249389	2249389	24	8	2349675	2349675	28	14	3033136	3033136	25	10	4274017	4274017	23	7	0	0	26	13	25243821	25243821	22	6	11483964	11483964	22	5	0	0	22	11	44552520	44552520	19	4	47443383	47443383	23	7	64183649	64183649	24	8	60902057	60902057	23	12	0	0	25	6	0	0	22	4	106588452	106588452	17	4	0	0	19	3	0	0	30	14
Acatzingo	1346508	1346508	16	1	2028271	2028271	13	0	2359340	2359340	14	3	2290314	2290314	15	2	2744277	2744277	12	2	2928684	2928684	16	1	4378626	4378626	12	1	5151647	5151647	13	1	6768130	6768130	8	0	7964340	7964340	17	0	11268604	11268604	17	1	0	0	12	1	38347859	38347859	27	1	39314247	39314247	22	1	41799540	41799540	26	2	46545744	46545744	14	1	59659609	59659609	14	1	0	0	25	2	74324986	74324986	24	2	0	0	21	1	0	0	10	1
Acaxochitlán	734011	734011	22	3	1147028	1147028	33	7	2075762	2075762	31	5	2653442	2653442	22	2	2769758	2769758	25	9	2938295	2938295	15	2	4250186	4250186	33	3	7299631	7299631	26	0	20152113	20152113	28	2	25131882	25131882	27	2	31168816	31168816	27	0	35740575	35740575	29	0	38393071	38393071	33	1	31996999	31996999	37	5	35768180	35768180	34	6	39243313	39243313	30	0	42326218	42326218	22	4	55809984	55809984	21	2	75435183	75435183	34	5	69014451	69014451	58	7	74596102	74596102	22	1
Acayucan	3046020	3046020	50	14	3441764	3441764	62	16	6416085	6416085	40	5	7222006	7222006	39	11	8312669	8312669	30	8	8131266	8131266	42	12	10834789	10834789	27	3	12647398	12647398	27	9	15751522	15751522	31	3	19359939	19359939	30	5	25628015	25628015	24	4	70565331	70565331	39	5	91234548	91234548	32	3	82661117	82661117	32	3	78262484	78262484	26	2	91069632	91069632	35	6	108268267	108268267	29	4	102889516	102889516	41	3	134478233	134478233	45	9	155344364	155344364	54	11	209369706	209369706	41	9
Acolman	4590518	4590518	26	10	4930490	4930490	56	22	7232201	7232201	33	12	9716560	9716560	30	9	9026907	9026907	32	10	9532180	9532180	29	13	11981417	11981417	33	15	17580902	17580902	31	13	26710776	26710776	41	18	41774228	41774228	30	16	46242560	46242560	30	9	63087084	63087084	33	15	72581420	72581420	20	5	68259723	68259723	24	7	94102246	94102246	32	10	114537439	114537439	28	7	118566434	118566434	38	8	135761745	135761745	39	8	167457081	167457081	38	14	197302460	197302460	33	10	201742556	201742556	49	16
Aconchi	376967	376967	1	0	506149	506149	3	0	686290	686290	1	0	864503	864503	3	0	854213	854213	0	0	881140	881140	2	0	1155817	1155817	2	0	1559252	1559252	0	0	2145790	2145790	0	0	3005927	3005927	2	0	3931269	3931269	0	0	6000001	6000001	1	0	5658926	5658926	1	0	5541084	5541084	1	0	5011802	5011802	3	0	6074751	6074751	2	0	7104089	7104089	2	1	6943823	6943823	1	0	9225251	9225251	1	0	8111259	8111259	2	0	9188145	9188145	2	2
Acteopan	94763	94763	1	0	162177	162177	3	1	236383	236383	3	0	248119	248119	1	0	730566	730566	5	1	1569664	1569664	0	0	2048667	2048667	2	0	2268693	2268693	3	1	3105460	3105460	1	0	2827107	2827107	0	0	3874538	3874538	1	0	7096971	7096971	1	0	7137421	7137421	1	0	0	0	4	0	9356570	9356570	7	0	8534160	8534160	1	0	12088714	12088714	0	0	9904209	9904209	0	0	11692059	11692059	0	0	12398984	12398984	1	1	0	0	1	0
Actopan	1848979	1848979	29	6	2990270	2990270	17	2	4166006	4166006	15	1	4862341	4862341	23	5	5102400	5102400	16	3	5931970	5931970	15	2	8761082	8761082	14	0	10858572	10858572	21	2	26319061	26319061	20	3	33088917	33088917	25	3	35722807	35722807	23	2	41155494	41155494	18	2	40447005	40447005	26	0	56556386	56556386	32	6	62451061	62451061	16	1	53437111	53437111	20	4	50173162	50173162	16	1	65016205	65016205	13	2	82497153	82497153	19	3	78471319	78471319	19	2	78772798	78772798	19	3
Actopan	842555	842555	29	6	1187511	1187511	17	2	1762089	1762089	15	1	2245185	2245185	23	5	2629549	2629549	16	3	3954454	3954454	15	2	5002145	5002145	14	0	6116299	6116299	21	2	8424072	8424072	20	3	6954274	6954274	25	3	12775297	12775297	23	2	34923768	34923768	18	2	34200293	34200293	26	0	32120000	32120000	32	6	29318724	29318724	16	1	41209721	41209721	20	4	51860518	51860518	16	1	52739012	52739012	13	2	67068939	67068939	19	3	85320896	85320896	19	2	68595784	68595784	19	3
Acuamanala de Miguel Hidalgo	104748	104748	3	0	140260	140260	8	0	212064	212064	5	0	264862	264862	1	0	1536661	1536661	4	2	1964339	1964339	2	0	2077938	2077938	1	0	2734743	2734743	0	0	3096623	3096623	1	0	4687677	4687677	3	0	4187252	4187252	2	0	6374064	6374064	4	0	5439956	5439956	6	0	6869976	6869976	3	0	7931200	7931200	0	0	9032219	9032219	3	1	9613604	9613604	6	1	0	0	2	0	14930908	14930908	1	0	17737163	17737163	1	1	16090555	16090555	1	0
Acuitzio	696149	696149	3	2	888801	888801	6	2	1417525	1417525	5	1	1431348	1431348	21	11	1798624	1798624	12	5	1904370	1904370	10	2	2792938	2792938	13	5	3863625	3863625	4	0	8111163	8111163	6	2	10668467	10668467	10	3	13167689	13167689	13	2	17685969	17685969	6	0	16653084	16653084	6	2	17099214	17099214	4	1	18481167	18481167	11	2	19804573	19804573	8	1	24828976	24828976	12	0	25354317	25354317	8	0	35814875	35814875	11	0	52320226	52320226	5	0	33888538	33888538	7	0
Acula	210824	210824	0	0	250654	250654	0	0	381950	381950	0	0	555425	555425	1	0	790860	790860	2	0	948882	948882	2	1	1153858	1153858	3	0	1509643	1509643	5	2	1905357	1905357	2	0	2460483	2460483	2	1	1817364	1817364	2	0	6353591	6353591	3	0	7520577	7520577	1	0	7012600	7012600	2	0	7273065	7273065	4	0	8204544	8204544	2	0	9221840	9221840	2	1	9574364	9574364	1	0	14749193	14749193	1	0	15833565	15833565	2	0	12413552	12413552	1	0
Aculco	2376529	2376529	50	21	1948236	1948236	40	15	3186655	3186655	47	25	4283991	4283991	32	10	5031383	5031383	45	25	6525069	6525069	41	15	8320462	8320462	43	10	12286590	12286590	42	14	27254283	27254283	43	14	46057839	46057839	21	5	50713329	50713329	26	8	57053988	57053988	21	6	75310839	75310839	25	5	60937766	60937766	18	1	71434969	71434969	30	8	98580894	98580894	33	10	93378132	93378132	24	2	102108360	102108360	31	3	128330080	128330080	30	4	143030528	143030528	21	2	153648053	153648053	22	2
Acultzingo	246560	246560	9	2	0	0	10	6	536267	536267	12	5	650802	650802	5	1	735438	735438	9	4	864896	864896	9	0	1353151	1353151	12	5	1679994	1679994	13	4	2195529	2195529	6	1	2218817	2218817	15	1	3559110	3559110	8	3	15735759	15735759	8	4	17293849	17293849	6	0	17646750	17646750	12	0	19430600	19430600	12	2	21246255	21246255	14	2	23979092	23979092	12	1	36609709	36609709	10	0	35637330	35637330	11	1	37630270	37630270	10	0	34504169	34504169	17	1
